"no","id","symbol","name","date_achat","montant","portefeuille","wallet","exchange","date_verification","observation"
"17358","yield-guild-games","ygg","Yield Guild Games","2024-06-13","0.738601016018","90.74268115","Rabby EWC BSC",,"2026-04-06",
"54479","siren-2","siren","Siren",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"69149","niza-global-2","niza","Niza Global",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"13573","lido-dao","ldo","Lido DAO","1970-01-01","0","0",,,"1970-01-01",
"15380","centrifuge","cfg","Centrifuge","2024-01-19","0.5581065457","622.7117","Rabby Gate.io Ethereum",,"2026-03-26","Migré vers le nouveau contrat le 01/06/2025
(Centrifuge (CFG) migrated from their old contract to a new contract on ETH)"
"14051","mask-network","mask","Mask Network",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"68339","doublezero","2z","DoubleZero","1970-01-01","0","0",,,"1970-01-01","Launchpad"
"68507","linea","linea","Linea","2025-09-10","0.000000000001","123.54253412","Rabby EWC Linea",,"2026-05-08","Launchpad Binance
Defi non utilisée car valeur inférieur à 1€"
"15585","convex-finance","cvx","Convex Finance","1970-01-01","0","0",,,"1970-01-01",
"8545","mx-token","mx","MX Token","2026-03-06","1.580179774","44.12012909",,"MEXC","2026-06-05",
"4817","coinex-token","cet","CoinEx Token","2024-11-13","0.087745","994.80080654","Gate.io Wallet Ethereum",,"2026-03-27",
"51440","tokenbot-2","clanker","tokenbot",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"20009","ronin","ron","Ronin","2024-05-16","2.189141948028","56.55","Ronin Wallet Extension Brave",,"2026-05-29","staking non disponible
retester le staking sur https://app.roninchain.com/staking?t=staking
Délai d'unstake : 3 jours."
"16646","ecash","xec","eCash",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"18323","gmx","gmx","GMX","1970-01-01","0","0",,,"1970-01-01",
"2518","weth","weth","WETH",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1341","uquid-coin","uqc","Uquid Coin",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"9330","pay-coin","pci","Paycoin",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"38637","spark-2","spk","Spark","2025-06-16","0.000000000001","41.35684351","Rabby EWC BSC",,"2026-05-12","Launchpad"
"10569","creditcoin-2","ctc","Creditcoin","1970-01-01","0","0",,,"1970-01-01",
"14665","liquity","lqty","Liquity","1970-01-01","0","0",,,"1970-01-01",
"11875","dkargo","dka","dKargo",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"24383","apecoin","ape","ApeCoin","1970-01-01","0","0",,,"1970-01-01",
"13876","jasmycoin","jasmy","JasmyCoin","1970-01-01","0","0",,,"1970-01-01",
"33613","ethena-usde","usde","Ethena USDe",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"35087","wormhole","w","Wormhole",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"51281","global-dollar","usdg","Global Dollar",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"55974","build-on","b","BUILDon",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"4490","aergo","aergo","Aergo",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"14631","aioz-network","aioz","AIOZ Network",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"9644","tellor","trb","Tellor","2024-02-12","107.777702753745","2.20832896","Rabby Principal Ethereum(0,14)+Rabby EWC Ethereum(2,06832896)",,"2026-04-07",
"13860","auction","auction","Bounce","1970-01-01","0","0",,,"1970-01-01",
"3449","true-usd","tusd","TrueUSD",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"29948","edu-coin","edu","Open Campus",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"50264","moo-deng","moodeng","Moo Deng",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3014","concierge-io","ava","Travala.com",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"25751","kaspa","kas","Kaspa","2023-12-19","0.118636373586","1514.079","Kaspa Wallet",,"2026-06-11","Pas de staking car POW
Legacy wallet sur https://wallet.kaspanet.io/"
"18623","magic","magic","Magic",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"51589","pippin","pippin","pippin",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"26149","euler","eul","Euler","1970-01-01","0","0",,,"1970-01-01",
"26997","ethereum-pow-iou","ethw","EthereumPoW",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"12451","pha","pha","Phala Network",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"56092","resolv","resolv","Resolv","2025-06-06","0.000000000001","93.64461344","Rabby PlayToEarn Ethereum",,"2026-03-26","90 RESOLV stakés sur https://app.resolv.xyz/overview à 26,79%
bloqués temporairement après la faille de mars 2026
update 25/03/26 :
Over the past 2 days, $77M+ has been redeemed for allowlisted wallets with pre-exploit USR, representing 90%+ of this group and marking strong progress in phase one of recovery.

Next:
• Redemption process for this group is actively being completed
• Work on subsequent phases"
"69380","anoma","xan","Anoma",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"13905","safepal","sfp","SafePal",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"23496","polymesh","polyx","Polymesh","1970-01-01","0","0",,,"1970-01-01","upgraded 1:1 to POLYX (Polymesh) par binance le 17 octobre 2022"
"27277","axelar","axl","Axelar","2024-04-01","1.614417547762","40.072144","Rabby EWC BSC",,"2026-03-21",
"12713","dexe","dexe","DeXe","1970-01-01","0","0",,,"1970-01-01",
"12998","wemix-token","wemix","WEMIX","2026-03-21","0.240643187111","212.07","Rabby Xdc Wemix",,"2026-03-23",
"8460","moviebloc","mbl","MovieBloc",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"28600","bonk","bonk","Bonk","2025-02-22","0.000000000001","2622.84552","Phantom Wallet",,"2026-05-27","Rewards Kamino"
"54035","story-2","ip","Story",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"33760","popcat","popcat","Popcat",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"24488","nym","nym","Nym",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"28205","sei-network","sei","Sei","2024-02-11","0.649072818724","2256.6021299","Rabby EWC Sei(1434,87369637)+Rabby Airdrops Sei(821,72843353)",,"2026-05-20","1430 SEI stakés sur https://www.splashing.xyz/defi (4%)
Jetons de staking en lending sur Takara (4,54%) 
https://app.takaralend.com/dashboard

820 SEI stakés sur https://www.splashing.xyz/defi
Jetons de staking en lending sur Takara 
https://app.takaralend.com/dashboard"
